modality,operation,radius,n_centers,n_masks,f1_mean,precision_mean,recall_mean,miou_mean,gt_area_mean,perturbed_area_mean,area_ratio_mean
Colour,dilation,1,2,1693,0.9571809721118557,0.9182257282827224,0.9999999999961222,0.9182257282827224,30857.62613797939,33267.38697654345,1.0899267866374958
Colour,dilation,2,2,1693,0.9161572690411133,0.8463384410212711,0.9999999999961222,0.8463384410212711,30857.62613797939,35816.58910598607,1.1848280379864413
Colour,dilation,3,2,1693,0.8803632138054983,0.7880900679087769,0.9999999999961222,0.7880900679087769,30857.62613797939,38248.519565284194,1.275629021555374
Colour,erosion,1,2,1693,0.9528077734841671,0.9999999999956701,0.910378120664839,0.910378120664839,30857.62613797939,28455.692078629872,0.910378120664839
Colour,erosion,2,2,1693,0.8979937341506744,0.9999999999950457,0.8170837309243438,0.8170837309243438,30857.62613797939,25947.607175380814,0.8170837309243438
Colour,erosion,3,2,1693,0.8395845978237783,0.9999999999941778,0.7287316019158478,0.7287316019158478,30857.62613797939,23576.523085722427,0.7287316019158478
Infrared,dilation,1,3,1739,0.9624670694375034,0.9278122682167947,0.9999999999963082,0.9278122682167947,30044.290482798115,32213.66167716547,1.0781994149034444
Infrared,dilation,2,3,1739,0.9260169002636829,0.8627442117341052,0.9999999999963082,0.8627442117341052,30044.290482798115,34500.520744313755,1.1606130520562628
Infrared,dilation,3,3,1739,0.8936940617984219,0.8087253393169744,0.9999999999963082,0.8087253393169744,30044.290482798115,36693.09226539213,1.2396716550200082
Infrared,erosion,1,3,1739,0.9593495155014011,0.9999999999959656,0.9220995810112509,0.9220995810112509,30044.290482798115,27882.975449686506,0.9220995810112509
Infrared,erosion,2,3,1739,0.9131803745331143,0.9999999999955277,0.8412038764893964,0.8412038764893964,30044.290482798115,25636.917684242988,0.8412038764893964
Infrared,erosion,3,3,1739,0.8650157905904609,0.9999999999949999,0.7643839808209071,0.7643839808209071,30044.290482798115,23503.80247933278,0.7643839808209071
