radius,mean_uncertainty_all,mean_uncertainty_certain_positive,mean_uncertainty_uncertain_boundary,mean_uncertainty_certain_negative,pixels_certain_positive,pixels_uncertain_boundary,pixels_certain_negative
1,0.0007278532721102238,0.007899198681116104,0.03155960515141487,0.00037976863677613437,3676,2040,256428
1,0.0013234835350885987,0.003234199481084943,0.04914078861474991,0.0008835935150273144,8347,1983,251814
2,0.0007278532721102238,0.005890612490475178,0.031209997832775116,0.00018679343338590115,2681,4079,255384
2,0.0013234835350885987,0.0022603992838412523,0.030777469277381897,0.0008305973024107516,7384,3962,250798
3,0.0007278532721102238,0.004694744013249874,0.026610275730490685,7.893870497355238e-05,1705,6115,254324
3,0.0013234835350885987,0.0020118483807891607,0.022801538929343224,0.0007951099541969597,6440,5938,249766
1,0.0028231509495526552,0.04923185706138611,0.04199308902025223,0.00042440410470589995,11153,2032,248959
1,0.0004963992396369576,0.0040740673430264,0.039653707295656204,0.00014589587226510048,3537,1974,256633
2,0.0028231509495526552,0.04970673471689224,0.03773064538836479,0.00033277308102697134,10163,4039,247942
2,0.0004963992396369576,0.0032132575288414955,0.027551069855690002,5.155943290446885e-05,2579,3944,255621
3,0.0028231509495526552,0.04860221967101097,0.03853561729192734,0.0002513790095690638,9191,6002,246951
3,0.0004963992396369576,0.0027825203724205494,0.020291943103075027,2.2070804334362037e-05,1640,5911,254593
1,0.0010942607186734676,0.021395022049546242,0.053802892565727234,0.0004452988796401769,2479,2215,257450
1,0.00043861469021067023,0.011360365897417068,0.03283477574586868,3.69043555110693e-05,3504,2001,256639
2,0.0010942607186734676,0.013218645006418228,0.04589177295565605,0.0002544915769249201,1400,4426,256318
2,0.00043861469021067023,0.006733112037181854,0.023421766236424446,1.718169187370222e-05,2538,3992,255614
3,0.0010942607186734676,0.001204819418489933,0.038403213024139404,0.00015213146980386227,532,6442,255170
3,0.00043861469021067023,0.004524162504822016,0.017344802618026733,1.652130413276609e-05,1601,5969,254574
1,0.00038520939415320754,0.0010134128388017416,0.04147522523999214,8.004306437214836e-05,1088,1908,259148
1,0.0008641614113003016,0.014367709867656231,0.05425148829817772,0.00015816041559446603,4543,2228,255373
2,0.00038520939415320754,0.00013281573774293065,0.02938426285982132,7.939192073536105e-06,618,3364,258162
2,0.0008641614113003016,0.010780814103782177,0.03669584169983864,0.00010144909902010113,3453,4456,254235
3,0.00038520939415320754,0.0001229608606081456,0.02217971533536911,6.03997159487335e-06,504,4480,257160
3,0.0008641614113003016,0.007528352551162243,0.027652457356452942,9.513742406852543e-05,2393,6670,253081
1,0.0007181437686085701,0.020129486918449402,0.046414416283369064,6.189830310177058e-05,3946,2003,256195
1,0.0007484836387448013,0.01650308631360531,0.0358862578868866,0.00026903313118964434,3828,1784,256532
2,0.0007181437686085701,0.012935361824929714,0.03402232006192207,5.3300918807508424e-05,2971,4004,255169
2,0.0007484836387448013,0.010403568856418133,0.03014814481139183,0.00022638286463916302,2961,3567,255616
3,0.0007181437686085701,0.010097887367010117,0.025819599628448486,5.11073085363023e-05,2018,5999,254127
3,0.0007484836387448013,0.003988191951066256,0.02458866871893406,0.00022116991749498993,2114,5346,254684
1,0.0006219401257112622,0.013446272350847721,0.038059115409851074,3.582624776754528e-05,5072,2252,254820
1,0.0005316075403243303,0.0075116208754479885,0.03797807916998863,0.0001220806298078969,3693,2115,256336
2,0.0006219401257112622,0.011492101475596428,0.02477887086570263,2.295687772857491e-05,3971,4503,253670
2,0.0005316075403243303,0.0016356533160433173,0.024977615103125572,0.00011526399612193927,2663,4227,255254
3,0.0006219401257112622,0.012025809846818447,0.018423661589622498,1.5563888155156747e-05,2891,6749,252504
3,0.0005316075403243303,0.0007426358642987907,0.017389699816703796,0.00011016732605639845,1655,6333,254156
1,0.0008081623818725348,0.01133060548454523,0.03365367650985718,0.00020216791017446667,7229,2344,252571
