radius,mean_uncertainty_all,mean_uncertainty_certain_positive,mean_uncertainty_uncertain_boundary,mean_uncertainty_certain_negative,pixels_certain_positive,pixels_uncertain_boundary,pixels_certain_negative
1,0.0005713528371416032,0.005357782356441021,0.035975176841020584,0.00030488643096759915,2141,1655,258348
1,0.0005801182705909014,0.00756086828187108,0.03823786601424217,0.00011661962344078347,4810,2248,255086
2,0.0005713528371416032,0.0018177124438807368,0.02418474107980728,0.00026194468955509365,1345,3303,257496
2,0.0005801182705909014,0.007473374716937542,0.02606978826224804,2.8331058274488896e-05,3713,4493,253938
3,0.0005713528371416032,0.0006273903418332338,0.0178957711905241,0.00024103524629026651,625,4891,256628
3,0.0005801182705909014,0.007480744272470474,0.01906871236860752,1.5704748875577934e-05,2638,6732,252774
1,0.0005503460997715592,0.006095420569181442,0.03701502084732056,0.00024134093837346882,2863,1747,257534
1,0.000469218532089144,0.001897476497106254,0.02786467783153057,0.00026499771047383547,3258,1747,257139
2,0.0005503460997715592,0.002258370164781809,0.02823907695710659,0.0001603756390977651,2018,3490,256636
2,0.000469218532089144,0.0010180548997595906,0.022460799664258957,0.00016444137145299464,2412,3491,256241
3,0.0005503460997715592,0.001343926414847374,0.021219827234745026,0.00012399459956213832,1193,5229,255722
3,0.000469218532089144,0.0008078411337919533,0.016304299235343933,0.0001425126101821661,1583,5234,255327
1,0.0005801520310342312,0.00575140118598938,0.025242703035473824,0.00013751945516560227,9261,2551,250332
1,0.0010134928161278367,0.0029415434692054987,0.053113266825675964,0.0007305663311854005,2390,1315,258439
2,0.0005801520310342312,0.00400972506031394,0.018808580935001373,9.680556104285643e-05,8017,5095,249032
2,0.0010134928161278367,0.001082222443073988,0.0299362950026989,0.0007181370165199041,1759,2628,257757
3,0.0005801520310342312,0.003123123664408922,0.015209044329822063,5.948284160695039e-05,6792,7636,247716
3,0.0010134928161278367,0.0007832025876268744,0.02046472206711769,0.0007166916038841009,1149,3936,257059
1,0.000697919400408864,0.009874251671135426,0.04885163530707359,5.407296339399181e-05,6265,2198,253681
1,0.0010527883423492312,0.0016874492866918445,0.033644311130046844,0.0008740086341276765,2181,1376,258587
2,0.000697919400408864,0.008616825565695763,0.029517851769924164,3.368251782376319e-05,5193,4394,252557
2,0.0010527883423492312,0.001338060013949871,0.02140108309686184,0.0008339564665220678,1517,2752,257875
3,0.000697919400408864,0.007819400168955326,0.02197791077196598,2.312716969754547e-05,4140,6587,251417
3,0.0010527883423492312,0.0012896741973236203,0.015381642617285252,0.0008222396136261523,874,4123,257147
1,0.0005632638931274414,0.0015267218695953488,0.04629546031355858,0.00023368428810499609,3836,1768,256540
1,0.0005368479760363698,0.0074590351432561874,0.04380118101835251,0.0002179196453653276,2325,1532,258287
2,0.0005632638931274414,0.001285760779865086,0.02563602663576603,0.00020841765217483044,2980,3532,255632
2,0.0005368479760363698,0.002137711737304926,0.03081708587706089,0.00016703094297554344,1586,3061,257497
3,0.0005632638931274414,0.0011669712839648128,0.017831362783908844,0.00019947669352404773,2144,5291,254709
3,0.0005368479760363698,0.0011040366953238845,0.021410522982478142,0.00016311777289956808,880,4572,256692
1,0.0017579760169610381,0.0035794167779386044,0.05457853525876999,0.0014219912700355053,4236,1485,256423
1,0.0003952932311221957,0.005230273120105267,0.03531036153435707,0.00018826166342478245,1569,1320,259255
2,0.0017579760169610381,0.0013558082282543182,0.036692239344120026,0.0013580872910097241,3520,2967,255657
2,0.0003952932311221957,0.0016168744768947363,0.026238135993480682,0.00012741185491904616,937,2636,258571
3,0.0017579760169610381,0.0007032418507151306,0.02778254821896553,0.001315583474934101,2822,4447,254875
3,0.0003952932311221957,0.0011314668226987123,0.019993867725133896,0.00010089483839692548,415,3858,257871
1,0.000600576342549175,0.003200311679393053,0.044287536293268204,0.00028691254556179047,2367,1712,258065
1,0.0010780745651572943,0.004196377471089363,0.044621530920267105,0.0006940427701920271,4412,1940,255792
2,0.000600576342549175,0.0009626804967410862,0.026006417348980904,0.00026046979473903775,1538,3421,257185
2,0.0010780745651572943,0.0026475137565284967,0.026566768065094948,0.0006688795401714742,3468,3877,254799
3,0.000600576342549175,0.0007625480066053569,0.017986254766583443,0.00025783065939322114,810,5045,256289
3,0.0010780745651572943,0.0025940886698663235,0.018420252948999405,0.0006657550111413002,2540,5812,253792
1,0.0005413781036622822,0.0009261428494937718,0.04172849655151367,0.0002432776236673817,4902,1803,255439
1,0.0009670275030657649,0.00950417760759592,0.05657433718442917,0.0004482222720980644,4581,1684,255879
2,0.0005413781036622822,0.0008420062949880958,0.021928075700998306,0.00023411394795402884,4029,3600,254515
2,0.0009670275030657649,0.005494910757988691,0.037371858954429626,0.0004196588124614209,3765,3366,255013
3,0.0005413781036622822,0.0007954276516102254,0.014996874146163464,0.00023081459221430123,3177,5392,253575
3,0.0009670275030657649,0.0038148444145917892,0.027774952352046967,0.0004016721504740417,2969,5044,254131
1,0.0008800404611974955,0.01748109795153141,0.046584032475948334,2.694776230782736e-05,6923,2208,253013
1,0.0005422165268100798,0.0032237654086202383,0.03570760414004326,0.00019988775602541864,2775,2291,257078
2,0.0008800404611974955,0.01660948246717453,0.029393542557954788,1.526982850919012e-05,5843,4416,251885
2,0.0005422165268100798,0.0024366441648453474,0.023634465411305428,0.00011752074351534247,1664,4570,255910
3,0.0008800404611974955,0.015783801674842834,0.022936537861824036,1.3414320164883975e-05,4783,6620,250741
3,0.0005422165268100798,0.0006743132835254073,0.01777001842856407,9.662470256444067e-05,836,6582,254726
1,0.00087649782653898,0.002382900333032012,0.04785168915987015,0.0004985886625945568,4425,1916,255803
1,0.0010801791213452816,0.005404561758041382,0.05612862855195999,0.0006351738120429218,3120,1834,257190
2,0.00087649782653898,0.0017002131789922714,0.026694482192397118,0.0004772563115693629,3494,3829,254821
2,0.0010801791213452816,0.0026714655105024576,0.033237021416425705,0.0006068769725970924,2235,3661,256248
3,0.00087649782653898,0.0017801214708015323,0.01829208806157112,0.00047340497258119285,2580,5741,253823
3,0.0010801791213452816,0.0018427639733999968,0.024483807384967804,0.0005735201411880553,1372,5482,255290
1,0.0004787340294569731,0.00629870081320405,0.03077187016606331,0.00023894380137789994,3425,1379,257340
1,0.0007156437495723367,0.010065153241157532,0.047353051602840424,2.338144986424595e-05,6873,2376,252895
2,0.0004787340294569731,0.004392415285110474,0.0199036356061697,0.0002283563808305189,2759,2752,256633
2,0.0007156437495723367,0.009328953921794891,0.027527986094355583,1.416912073182175e-05,5711,4750,251683
3,0.0004787340294569731,0.0031260272953659296,0.014886264689266682,0.0002250040415674448,2111,4119,255914
3,0.0007156437495723367,0.00950196385383606,0.01978623867034912,1.3253865290607791e-05,4570,7119,250455
1,0.0005554265226237476,0.003552439156919718,0.03642452508211136,0.00020614628738258034,3096,2242,256806
1,0.0007613853667862713,0.000843073648866266,0.04827596992254257,0.0004220142727717757,6714,1800,253630
2,0.0005554265226237476,0.0026857703924179077,0.02061450481414795,0.00018981820903718472,2025,4445,255674
2,0.0007613853667862713,0.000754897017031908,0.027293022722005844,0.00038399084587581456,5842,3596,252706
3,0.0005554265226237476,0.0032735303975641727,0.014202013611793518,0.00018957536667585373,992,6626,254526
3,0.0007613853667862713,0.0007209063041955233,0.019497055560350418,0.00036093060043640435,4986,5392,251766
1,0.00046128701069392264,0.0032261116430163383,0.04078710451722145,0.0001805777137633413,2949,1591,257604
1,0.0009516752324998379,0.0015143187483772635,0.04190916195511818,0.0006750205648131669,3774,1682,256688
2,0.00046128701069392264,0.0012018050765618682,0.026210924610495567,0.00013602069520857185,2179,3181,256784
2,0.0009516752324998379,0.001285933656617999,0.0282436590641737,0.000589137664064765,2960,3362,255822
3,0.00046128701069392264,0.000968695676419884,0.018202688544988632,0.00012788794992957264,1427,4769,255948
3,0.0009516752324998379,0.0011150181526318192,0.01963741146028042,0.0005809584399685264,2164,5039,254941
1,0.001016419380903244,0.003930970560759306,0.04834487661719322,0.0005987140466459095,5192,1931,255021
1,0.0006922560860402882,0.0024117196444422007,0.03496852144598961,0.0004100498044863343,4656,1871,255617
2,0.001016419380903244,0.0022572679445147514,0.027740076184272766,0.0005895790527574718,4253,3860,254031
2,0.0006922560860402882,0.0016861881595104933,0.025191880762577057,0.0003180965723004192,3750,3737,254657
3,0.001016419380903244,0.002147587016224861,0.019138628616929054,0.0005872471374459565,3335,5784,253025
3,0.0006922560860402882,0.0015360128600150347,0.018908612430095673,0.0002809505385812372,2868,5595,253681
