radius,mean_uncertainty_all,mean_uncertainty_certain_positive,mean_uncertainty_uncertain_boundary,mean_uncertainty_certain_negative,pixels_certain_positive,pixels_uncertain_boundary,pixels_certain_negative
1,0.0005879891687072814,0.0046968101523816586,0.05442037060856819,0.00011448666919022799,3516,1989,256639
1,0.0007220543920993805,0.0049296109937131405,0.060360126197338104,0.00019538721244316548,4432,1946,255766
2,0.0005879891687072814,0.0020874268375337124,0.03183406591415405,8.739562326809391e-05,2549,3973,255622
2,0.0007220543920993805,0.0024158258456736803,0.03797270730137825,0.0001308218197664246,3489,3885,254770
3,0.0005879891687072814,0.0012098840670660138,0.022090213373303413,8.14624727354385e-05,1603,5951,254590
3,0.0007220543920993805,0.0018303516553714871,0.027242114767432213,0.00010280369315296412,2568,5818,253758
1,0.0009516950231045485,0.0044634658843278885,0.044494181871414185,0.0006687821005471051,2001,1519,258624
1,0.0009694558102637529,0.0035504314582794905,0.0849437564611435,0.00010148722503799945,3981,2520,255643
2,0.0009516950231045485,0.0025011079851537943,0.02491389401257038,0.0006621874053962529,1271,3033,257840
2,0.0009694558102637529,0.0018828834872692823,0.04865710064768791,1.579405761731323e-05,2751,5034,254359
3,0.0009516950231045485,0.0011563547886908054,0.01763528771698475,0.0006581086781807244,588,4516,257040
3,0.0009694558102637529,0.0014534787042066455,0.033492311835289,8.609807082393672e-06,1633,7452,253059
1,0.0008477430092170835,0.008290248923003674,0.07495476305484772,1.1252450349275023e-05,5449,2324,254371
1,0.001034631859511137,0.01886560395359993,0.05082244053483009,8.823011012282223e-05,7225,2216,252703
2,0.0008477430092170835,0.0029465253464877605,0.04464373365044594,9.147855053015519e-06,4318,4641,253185
2,0.001034631859511137,0.0177004337310791,0.03367839381098747,5.2778341341763735e-05,6142,4431,251571
3,0.0008477430092170835,0.0023921956308186054,0.03054245188832283,8.598849490226712e-06,3207,6954,251983
3,0.001034631859511137,0.01768556982278824,0.02613498456776142,3.1115516321733594e-05,5077,6644,250423
1,0.0005925406003370881,0.002723471960052848,0.05934948846697807,6.24798922217451e-05,3670,2179,256295
1,0.0005094230291433632,0.0025082393549382687,0.05220150202512741,9.710362792247906e-05,3186,1927,257031
2,0.0005925406003370881,0.0015375710790976882,0.032804738730192184,3.326114529045299e-05,2609,4354,255181
2,0.0005094230291433632,0.00111747020855546,0.030559711158275604,5.211012830841355e-05,2250,3851,256043
3,0.0005925406003370881,0.0008569566998630762,0.022480735555291176,2.8991562430746853e-05,1571,6522,254051
3,0.0005094230291433632,0.0008457890362478793,0.02082616277039051,4.7938217903720215e-05,1334,5771,255039
1,0.0005310374544933438,0.0011390997096896172,0.042843978852033615,0.0001502376253483817,6310,2192,253642
1,0.0007076268084347248,0.002094559371471405,0.05019676685333252,0.00022256458760239184,6472,2302,253370
2,0.0005310374544933438,0.0006195784662850201,0.0251096673309803,0.00010268860933138058,5240,4382,252522
2,0.0007076268084347248,0.001599821262061596,0.02837514691054821,0.00018494066898711026,5350,4592,252202
